,formula
248,\tilde { A } _ { l } = A _ { l } + \frac { 1 } { 2 } \sum _ { j = 1 } ^ { 2 n } \beta _ { j }
249,\tilde { A } _ { l } = A _ { l } + \frac { 1 } { 2 } \sum _ { j = 1 } ^ { 2 n } \beta _ { j }
250,"\int i \int j | k \rangle = \int c ( j , i ) | k \rangle + \int i | C ( j , k ) \rangle"
251,2 \pi R ^ { ( I I ) } T _ { D ( p + 1 ) } ^ { ( I I ) } = T _ { D p } ^ { ( 0 ) } .
252,{ \cal P } _ { \Lambda } ^ { x } = \tilde { \cal P } ^ { 0 x } = 0 .
253,"( e ^ { - 2 \alpha \Phi } F ^ { \mu \nu } ) _ { ; \mu } = 0 ,"
254,( \nabla ^ { * } D \: \Omega ) _ { x } \: \Phi = \rho _ { x } \: \Phi .
255,\pi ^ { 0 } \approx 0 ; \pi ^ { 0 i } \approx 0
256,"\dot { T } = + i [ H , T ] + \lambda [ Q , [ T , Q ] ]"
257,"\psi = A ( k ) e ^ { i k x } + B ( k ) e ^ { - i k x } \, \, : \, \, x \, < \, a ."
258,"d s ^ { 2 } = d t ^ { 2 } + d r ^ { 2 } + r ^ { 2 } d \Omega ^ { 2 } ,"
259,"f ( S ) ^ { S } \ = \ 2 R e f ( S ) { G ( S , S ^ { * } ) _ { S } ^ { S } } ^ { 1 / 2 }"
260,\operatorname { d i m } Z ( \Pi ) \geq \mathrm { r a n k } ( { \cal G } _ { d + 1 } ) .
261,"d s ^ { 2 } = 2 d x ^ { + } d x ^ { - } + a ( d x ^ { + } ) ^ { 2 } + ( d x ^ { 1 } ) ^ { 2 } ~ ,"
262,"w \cdot ( p , q ) = ( - q , q - p ) , \quad \mathrm { ~ f o r ~ } ( p , q ) \in U ,"
263,\nu = \frac { 4 \pi \alpha ^ { \prime } } { \sqrt { 2 } \beta R }
264,K = R ^ { \mu \nu \alpha \beta } R _ { \mu \nu \alpha \beta } = \frac { 4 8 } { \rho ^ { 4 } }
265,"\chi = \left| \mathrm { T r } \, U \right| ^ { 2 } ."
266,\omega _ { i j } \omega ^ { j k } = \delta _ { i } ^ { k } = \omega ^ { k j } \omega _ { j i } \ .
267,\nu _ { 2 } = 0 \; \mathrm { o r } \; \nu _ { 2 } = 1
268,"{ \cal B } _ { - } = Q ^ { - 1 } \partial _ { - } Q ,"
269,\mathcal { J } ^ { \dagger } = \varepsilon \mathcal { J } \varepsilon .
270,B ^ { G } ( r ) = - \frac { 2 6 } { 3 } \left( r ^ { 2 } - \frac { 1 } { 4 } \right)
271,U ( \alpha ) = \frac { W ( \alpha - Q / 2 ) } { W ( - Q / 2 ) }
272,"A _ { I } \equiv W _ { I } ^ { a } M ^ { a } / | v | \, , \, \, \, I = 1 , 2"
273,{ \cal B } ( { \bf x } ) = - \frac { j _ { 0 } ( { \bf x } ) } { m } .
274,v ^ { i } = ( 1 - \alpha ^ { l } ) ( f _ { \alpha } - f _ { \beta } + \Lambda ) \; .
275,{ \cal { V } } \rightarrow { \cal { O } } { \cal { V } } U ^ { \mathrm { T } }
276,L _ { a } ( u ) = { \frac { 1 } { 2 i } } ( z L _ { a } ^ { + } - z ^ { - 1 } L _ { a } ^ { - } ) .
277,"D _ { q } f ( z ) : = \frac { f ( z ) - f ( q z ) } { ( 1 - q ) z } ,"
278,x _ { o } ( \tau ) = { \frac { 1 } { \sqrt { S _ { 1 } } } } { \frac { d x _ { c 1 } } { d \tau } }
279,K _ { a b } = \frac { 8 \pi G _ { n + 2 } } { n } \sigma h _ { a b } .
280,"\gamma _ { T } = m ^ { - 2 } T _ { 0 } \frac { \partial m ^ { 2 } ( T ) } { \partial T _ { 0 } } ,"
281,"( \omega _ { V } ) _ { i j } = ( \omega _ { V } ) _ { i j k } \omega _ { V } ^ { k } \, ."
282,\left( \nabla _ { \mu } \nabla ^ { \mu } + \frac { R } { 3 } + m ^ { 2 } \right) \phi ( x ) = 0 .
283,\frac { d E _ { q } } { d q } = \frac { 2 \pi J } { N } \left\{ \frac { N - 1 } { 4 } - m \right\}
284,"T _ { j , m } = U _ { m + 1 } ^ { 2 ( m - j ) } \cdot U _ { m } ^ { 2 ( j - m - 1 ) } ."
285,"{ \cal G } _ { 2 n } = { \cal G } _ { 2 n } ^ { ( 0 ) } - g { \cal G } _ { 2 n + 4 } ,"
286,( \psi _ { + i } - \overline { { \psi } } _ { - i } ) | _ { x = 0 } = 0
287,"A _ { \mu } \rightarrow U A _ { \mu } U ^ { - 1 } - ( \partial _ { \mu } U ) U ^ { - 1 } \, { , }"
288,R ( x ) = 4 S g x + { \frac { 1 } { 2 } } \delta ( S / \delta + m ) ( 3 S / \delta + m )
289,"{ \cal A } _ { \mu } ^ { 0 } = { \cal N } _ { 2 } \Delta ( w ) = e ^ { \gamma _ { < } | w | } ,"
290,"\varepsilon ^ { 0 1 2 3 } = - \, \varepsilon _ { 0 1 2 3 } = 1 ."
291,"z ^ { a } = e _ { \ m } ^ { a } z ^ { m } \ ,"
292,"\left\{ M _ { \mu \nu } , \phi ( k ) \right\} = D _ { \mu \nu } \phi ( k ) ,"
293,e ^ { - \psi } \left( M \eta \dot { M } \right) = A
294,\gamma _ { n } > \frac { \pi \sqrt { 2 } } { 4 } \; .
295,{ \cal H } = { \cal H } _ { U ( 1 ) } \otimes { \cal H } _ { m a s s = 0 } \; .
296,"\psi _ { \eta } ^ { 2 } = 4 \psi ^ { 3 } - g _ { 2 } \psi - g _ { 3 } ,"
297,z _ { I } = \frac { \pi \alpha ^ { \prime } i m n _ { I } } { M _ { I } \sqrt 2 } \ .
298,V _ { { \cal G } } ( w ) \rightarrow V _ { \Phi } ( w ) = z ( z ^ { - 1 } ) ^ { \prime \prime } .
299,"\delta F = \{ F , \varepsilon ^ { m } G _ { m } \} \, ,"
300,"z ^ { \mu } \left( { x , \xi \to - \infty } \right) = \infty ( s p a t i a l ) ."
301,"G \, \rightarrow \, G _ { S } \, \rightarrow \, G _ { \phi }"
302,u ( \varphi ) \sim \operatorname { e x p } \left\{ A ( D - d ) \varphi ^ { D / d } \right\} \quad .
303,"a \star a ^ { \dagger } - a ^ { \dagger } \star a = \hbar ,"
304,V ( \phi ) = - \frac 1 2 \phi ^ { 2 } + \frac { g } { 4 } \phi ^ { 4 } .
305,\partial _ { \xi } \partial _ { \eta } \Psi + \operatorname { s i n } \Psi = 0 .
306,"c _ { \Lambda } ^ { ( 1 ) } = q ^ { ( \Lambda , \Lambda + 2 \rho ) }"
307,"{ \cal Q } ( X ^ { ( 1 ) } ) = \left\{ X _ { 0 } , \, H \right\} \, ,"
308,"H = H ^ { \alpha \dot { \alpha } } D _ { \alpha \dot { \alpha } } ,"
309,"\left\{ 1 - e ^ { - i \left( H T - \lambda \right) } \right\} { \bf z } _ { 0 } = 0 \ ,"
310,"b = i \frac { M } { 2 m ^ { 3 } } , \, \, \, \, \, \, \, \, \, \, \, \, c = i \frac { m } { M } ."
311,"\tilde { x } ^ { \prime } = \frac { - x + y } { 2 } v , \tilde { y } ^ { \prime } = - ( x + y ) ,"
312,"R _ { s } ^ { \mathrm { r w } } \sim \ell _ { s } ( M / M _ { s } ) ^ { 1 / 2 } \, ,"
313,"C _ { - N } = C _ { N } ^ { \dagger } \qquad , \qquad D _ { - N } = D _ { N } ^ { \dagger } \; ."
314,"{ \cal { G } } _ { \mathrm { c } } ^ { \Lambda _ { 0 } , \Lambda _ { 0 } } \{ J \} = 0 \; ."
315,"m _ { 1 } , \ldots , m _ { i - 1 } , m _ { 0 } , m _ { i + 1 } , \ldots , m _ { N } ,"
316,"\partial _ { k } \Psi ( x , t , Q _ { j } ) = \mu _ { j } \Psi ( x , t , Q _ { j } )"
317,"e ^ { \phi } = H ^ { \frac { 1 - p } { 4 } } \, ."
318,"[ J , D ] = 0 , \qquad \qquad \qquad [ J , \Gamma ] = 0 ."
319,"S = \pi ( r _ { 0 } + M + \Sigma ) ( r _ { 0 } + M - \Sigma ) \ ,"
320,"( x , y , z ) \sim ( - x , - y , z + \pi ) \ \ ,"
321,- D _ { 2 } = \partial _ { i } \Pi _ { i } = 0
322,"d e t _ { q } K \, P _ { - } \equiv P _ { - } K _ { 1 } \hat { R } ^ { ( 3 ) } K _ { 1 } P _ { - }"
323,"1 / ( a b ) = \int _ { 0 } ^ { 1 } d x \{ 1 / [ a x + b ( 1 - x ) ] ^ { 2 } \} ,"
324,"\mathrm { E r f c } ( x ) = \int _ { x } ^ { \infty } e ^ { - t ^ { 2 } } d t ,"
325,"\frac { 1 } { 2 } H ( x ^ { a } ) \, \dot { x } ^ { b } \dot { x } ^ { b } \ ,"
326,3 f + 2 q + p + \omega + m = d _ { m } .
327,"\delta ( \rho ) = \frac { 1 } { n ! } \sum _ { R } ^ { } d _ { R } \chi _ { R } ( \rho ) ,"
328,( q ) _ { n } = \prod _ { k = 1 } ^ { n } ( 1 - q ^ { k } )
329,"\hat { W } ( \lambda \xi ) \hat { W } ( \mu \xi ) = \hat { W } ( ( \lambda + \mu ) \xi ) ,"
330,"\beta = 3 \gamma \, , \qquad \alpha - 1 = 2 \gamma \, ."
331,"i \partial _ { \tau } \psi = [ \psi , \mathrm { K } ] ,"
332,"I _ { m , n } \simeq \frac { m } { 2 n } \sim e ^ { s _ { r } - s _ { h } } ."
333,"\rho _ { 1 } \phi _ { 1 } = \rho _ { 2 } \phi _ { 2 } ,"
334,"V _ { c } \equiv { \cal H } _ { c m n } { \cal F } ^ { m n } = 0 \, ."
335,"\tilde { N } _ { k } - \tilde { N } _ { k - 1 } = \lambda _ { k } \, N _ { k } ."
336,\frac { 1 } { L _ { 0 } } = \int _ { 0 } ^ { \infty } d t \; e ^ { - t L _ { 0 } } .
337,\Pi _ { \mu } ^ { L } \partial _ { \mu } S _ { L } = m S _ { L } ^ { * }
338,"I ^ { - 1 } ( k ^ { 2 } ) \simeq \frac { i } { 3 2 \sqrt { - k ^ { 2 } + 4 m ^ { 2 } } } ,"
339,"H = A ( a _ { 1 } a _ { 2 } ) ^ { 2 } \, \, ( d \tau \wedge d x ^ { 1 } \wedge d x ^ { 2 } ) ,"
340,{ \cal D } _ { 2 } \rightarrow { \cal D } _ { 2 } + \alpha { \cal D } _ { 1 }
341,"V ( x ) = A ^ { 2 } + B ^ { 2 } e ^ { - 2 \alpha x } - B ( 2 A + \alpha ) e ^ { - \alpha x } ,"
342,"\mathrm { w h e r e \ \ \ \ \ } r _ { 1 , 2 } = M \pm \sqrt { M ^ { 2 } - Q ^ { 2 } } ."
343,"U _ { 2 } ( x ^ { 1 } ) = x ^ { 2 } \, , \qquad U _ { 2 } ( x ^ { 2 } ) = x ^ { 1 } \, ."
344,"\psi ( x ) \longrightarrow ( 1 + i { \tilde { g } } { \tilde { \Lambda } } ( x ) ) \psi ( x ) ,"
345,"D _ { I + 1 } ^ { \, I } W ^ { 1 2 \ldots k } = 0 \; , \quad 1 \leq I < J \leq N - 1 \; ."
346,\delta V = C ^ { \alpha } { \partial } _ { \alpha } V - C _ { W } V ~ .
347,"V ( T ) = - m ^ { 2 } t r ( T ^ { 2 } ) + \lambda ^ { 2 } t r ( T ^ { 4 } ) + \ldots ,"
348,"0 > F ( z _ { 0 } ) = - 4 ( \omega + 1 ) \varepsilon ^ { 2 } z _ { 0 } \, ."
349,"0 > F ( z _ { 0 } ) = - 4 ( \omega + 1 ) \varepsilon ^ { 2 } z _ { 0 } \, ."
350,W ( x ) = \sum _ { i = 1 } ^ { r } \gamma _ { i i } R _ { i i }
351,l = \int _ { \partial \Gamma } \operatorname { e x p } b \phi
352,"{ \cal L } _ { \chi S B } = - { \cal H } _ { \chi S B } = \varepsilon \sigma ,"
353,"\Lambda _ { \, N } ^ { M } = \frac { 1 } { \sqrt { 2 } } \Omega ^ { M P } C _ { P N }"
354,"\tau _ { k } ( { \cal M } ) = \phi _ { k } ( { \cal M } ) \bmod \Gamma _ { k } \mathrm { , }"
355,"M ( n _ { e } , n _ { m } ) = | n _ { e } a + n _ { m } a _ { D } | ."
356,\phi = a J _ { l + 2 } ( \omega R x ) + b N _ { l + 2 } ( \omega R x ) .
357,G _ { l } ( v ) _ { r e g } = \theta [ ( v \cdot l ) > \epsilon ] G _ { l } ( v )
358,"F ^ { 2 } - 1 \le 2 ( N ^ { 2 } - 1 ) + \frac { 7 } { 8 } 4 N F \ ,"
359,"N ( d , k ) _ { \mathrm { m a s s i v e } } = \frac { ( d - 1 ) ! } { k ! ( d - 1 - k ) ! } \, ,"
360,F _ { z r \theta \phi } ^ { ( 4 ) } = f r ^ { 2 } \operatorname { s i n } { \theta }
361,\Vert \varphi * f \Vert _ { \infty } \leq \Vert \varphi \Vert _ { 1 } \Vert f \Vert _ { \infty } .
362,"V _ { a \mu } V _ { b } ^ { \mu } = \eta _ { a b } ~ ,"
363,\phi _ { i } ^ { k } ( x ^ { \mu } ) = A _ { i } ^ { k } ( x ^ { \mu } ) - C _ { i } ^ { k }
364,\tilde { \chi } _ { 1 } = Z ^ { 1 / 8 } \chi _ { 1 }
365,"S = \int A * Q A + { \frac { 2 } { 3 } } A * A * A \ ,"
366,"b _ { N + 1 } ^ { ( r ) } = ( r - 1 ) \, b _ { N } ^ { ( r - 1 ) } + r \, b _ { N } ^ { ( r ) }"
367,"{ \frac { \partial L } { \partial t } } = \left[ L , \left( L ^ { 2 } \right) _ { \geq 1 } \right]"
368,"S [ \phi ] = \int d ^ { 4 } x { \cal L } + \int d ^ { 4 } x { \Delta } { \cal L } ,"
369,b ( \Sigma ) = \frac { 1 } { \sqrt { 2 \Lambda } } \sqrt { 1 + \zeta ( 1 - 2 s n ^ { 2 } \delta ) }
370,"\int _ { e } ^ { g } [ d g ] \, e ^ { \frac { i } { 2 } \int d s | | \dot { g } | | ^ { 2 } } ."
371,"\int f = \int _ { \overline { X } } \, \, \tilde { f } d \mu"
372,{ \cal E } _ { n } \rightarrow N \omega _ { 0 } .
373,L _ { L a n d a u } = \partial _ { \mu } V \partial _ { \mu } V ^ { * } - U ( V ^ { * } V )
374,0 ~ = ~ r ( \alpha - 1 ) + z + z ^ { 2 } \Sigma ^ { \prime }
375,"\delta = \delta _ { \mathrm { c a n } } + V ,"
376,\eta _ { 0 T } = ( D _ { \theta } \hat { \Theta } _ { 0 } ) d \lambda
377,"U _ { P } ( T ) \simeq \frac { \Delta n ^ { 2 } } { 1 6 } \, T , \quad T \to \infty \, { . }"
378,"\phi _ { i } ( t + T , x ) = \sum _ { j = 1 } ^ { N } a _ { i j } \phi _ { j } ( t , x ) \, ."
379,"e _ { j } - e _ { k } , \qquad ( j < k ) , \qquad e _ { j } + e _ { k } , \qquad 2 e _ { j } ."
380,e _ { L 4 5 6 7 } = e _ { L 4 5 6 7 } e _ { L 7 6 5 4 3 2 1 } = e _ { L 3 2 1 } . \nonumber
381,"\theta _ { i } \rightarrow 2 \pi - \theta _ { i } , \qquad i = 1 , \cdots , N ."
382,\partial _ { \varphi } Q ( \varphi ) = 0
383,"S ( \lambda M , \lambda Q ) = \lambda ^ { ( \tilde { d } + 1 ) / \tilde { d } } S ( M , Q ) ,"
384,"A = 1 + { \frac { Q \Delta _ { ( q _ { 1 } , q _ { 2 } ) } ^ { 1 / 2 } } { r ^ { 6 } } } ,"
385,"( S , S ) _ { \Delta } = i \hbar [ \Delta , S ] ,"
386,"V _ { c l } ( \varphi \, ; \, \phi ) = \frac { \lambda _ { 0 } ( \phi ) } { 4 ! } \varphi ^ { 4 }"
387,"B = F _ { 1 2 } = \frac { \partial A _ { 2 } } { \partial x } ,"
388,{ \cal S } _ { H } = \int d ^ { 4 } x \int d \phi ~ \sqrt { - G } ~ H _ { M N L } ~ H ^ { M N L }
389,A _ { z } ^ { ( 1 ) } = \frac { 1 } { 3 z ( z + 1 ) ( z + 2 ) }
390,"\operatorname { d e g } \phi _ { L ( R ) } = W _ { L ( R ) } ( \Sigma , \phi _ { L ( R ) } ) ."
391,e _ { \mu } ^ { a } \to e _ { \mu } ^ { a } + \delta _ { \mu } ^ { a }
392,\prod _ { r = 1 } ^ { n } \prod _ { s = n + 1 } ^ { 2 n } | z _ { r } - z _ { s } | ^ { - 2 }
393,"D = m ^ { 2 } \Delta + 3 = \Delta \vert _ { x } + 3 ,"
394,"\omega \rightarrow \omega + ( - 1 ) ^ { s } d \eta , \ \theta \rightarrow \theta + \eta"
395,\Delta ^ { 2 } ( \beta ) = \prod _ { \alpha > 0 } ( \beta \cdot \alpha ) ^ { 2 } .
396,\Theta = \operatorname { l o g } \displaystyle \frac { 4 N } { { \cal M } L }
397,"U ^ { \mu } { \nabla } _ { \mu } n _ { ( i ) } ^ { \nu } = 0 \, ."
398,"H ^ { 2 } = \frac { 8 \pi G _ { N } } { 3 } ( \rho _ { \star } + \rho e ^ { - 4 k b _ { 0 } } ) ,"
399,"[ B _ { 1 } , A _ { 1 } ] = [ B _ { 2 } , B _ { 1 } ] = [ A _ { 2 } , B _ { 2 } ]"
400,"n _ { V } + n _ { G } + \sum _ { F } \, n _ { F } = N \, ."
401,"\Omega ( g \phi ^ { 4 } ) = \sum _ { m = 0 } ^ { \infty } g ^ { m } \Omega _ { m } \phi ^ { 4 m } ,"
402,{ \cal W } _ { 1 } = \hat { { \cal W } } _ { 1 } \ .
403,( \phi \star \psi ) ( x ) = \sigma ^ { - 1 } \left[ \sigma ( \phi ) \sigma ( \psi ) \right] .
404,"C _ { 2 } \left( S O \left( d , 2 \right) \right) = 1 - d ^ { 2 } / 4 ."
405,\gamma _ { \beta } \Phi _ { \beta \alpha } = \Phi _ { \beta \alpha } \gamma _ { \alpha } .
406,\beta = { \frac { 3 } { \pi | { \cal D } - 2 5 | } }
407,S _ { D _ { - 1 } } = C _ { 0 } - { \frac { i } { g _ { s t r } } }
408,u _ { \tilde { k } } = y ^ { \alpha } \sum _ { n = 0 } ^ { \infty } c _ { n } y ^ { n } .
409,"d s ^ { ' 2 } = \frac { 1 } { \operatorname { c o s h } ^ { 2 } \alpha } d s ^ { 2 } \, ."
410,\left( \partial _ { r } - \frac { \nu } { r } \right) \chi _ { 1 } ( r ) = 0 .
411,"H _ { - } ( \lambda ) \mid m , \lambda > = E _ { - } ^ { ( m ) } \mid m , \lambda > ,"
412,\Delta _ { \mathcal { A } } ( f \circ \theta ) = ( \Delta _ { H ( K ) } f ) \circ \theta .
413,E _ { \{ n _ { j } \} } ( g ) = \sum _ { j = 1 } ^ { N } E _ { \tilde { n } _ { j } } \; .
414,"T _ { \; \; \nu } ^ { \mu } = \delta ( z ) \, \sigma \, { \mathrm { d i a g } } ( 1 , 1 , 1 , 0 )"
415,"\partial \cdot L ( x ) \, = \, 0 \; ."
416,\L _ { \xi } g _ { a b } = \xi _ { a ; b } + \xi _ { b ; a } = 2 g _ { a b }
417,"\Phi ( x , y + 2 \pi R ) = \Phi ( x , y ) ; \qquad R = M _ { C } ^ { - 1 } ,"
418,"E = E _ { \mathrm { \scriptsize ~ i n } } + E _ { \mathrm { \scriptsize ~ o u t } } \: ,"
419,"d \phi ^ { ( n ) } = i [ Q , \phi ^ { ( n + 1 ) } \} ,"
420,E _ { n l } = \frac { \alpha } { \kappa } ( n + l + 1 )
421,"[ L _ { n } , W _ { m } ^ { 3 } ] = ( 2 n - m ) W _ { n + m } ^ { 3 } ."
422,"\zeta ( \nu | \beta ) = \beta \zeta _ { 0 } ( \nu ) + \zeta _ { T } ( \nu | \beta ) ,"
423,"\psi _ { n } ( x ) = P _ { n } ( x ) \, e ^ { - x ^ { 2 } / 2 } \, ,"
424,\beta ( \lambda ) = - \frac { \lambda ^ { 3 } } { ( 2 \sqrt { \pi } ) ^ { 6 } } .
425,^ { ( N / 2 ) } \chi ^ { ( N / 2 ) } = ( N - 1 ) ! ! 2 ^ { N / 2 } ( d / 2 ) _ { N / 2 }
426,\frac { 4 \pi \rho ^ { \prime 2 } } { N } \sim 2 \pi \alpha ^ { 2 } .
427,"\: \Delta t = \frac { 2 \Delta z } { E } = \frac { 2 \pi } { E } \, . \:"
428,\gamma _ { t } \gamma _ { t } \longleftrightarrow \sigma _ { t }
429,"( \nu _ { f } ^ { ( 1 ) } ) ^ { 2 } = { \frac { 1 } { 4 } } , \quad \quad g _ { f } ^ { ( 1 ) } = 0"
430,"R _ { M N } - \frac { 1 } { 2 } g _ { M N } \diamondsuit R = - T _ { F \, M N } ,"
431,\frac { \partial ^ { 2 } { \cal L } } { \partial \phi _ { t } ^ { \; 2 } } = 0
432,\sum _ { i = 1 } ^ { N + 1 } | \phi _ { i } | ^ { 2 } = { \frac { 4 \pi } { g ^ { 2 } } }
433,"F = F ^ { ( 0 ) } + F ^ { ( 1 ) } + F ^ { ( N P ) } ,"
434,\Pi ^ { \mu } { } _ { \mu \rho \sigma } ( p ) = 0
435,[ K _ { a b } ] - \hat { g } _ { a b } [ K ] \; = \; - 8 \pi G _ { N } T \hat { g } _ { a b } \ .
436,"\Delta _ { S O ( d , d + k ) } = \frac { 1 } { 4 }"
437,V ( r ) = 1 - \left( \frac { b } { r } \right) ^ { D - 3 } \equiv \left[ \chi ( r ) \right] ^ { 2 }
438,"A _ { \lambda } ^ { q } = \frac { 1 + q } { 2 } \, A _ { \lambda } ^ { B } \; ."
439,n ^ { 3 } P ( n ) \propto n ^ { 3 } \biggl \vert \frac { \mu } { a } \biggr \vert ^ { 2 } .
440,"{ \cal E } = \bigoplus _ { m = - \infty } ^ { \infty } { \cal E } ( m ) ,"
441,"\delta _ { \hat { \chi } } A _ { \xi } = - m \hat { \lambda } _ { \xi } \, ."
442,v ^ { r e n } = \frac { 1 } { 2 \epsilon ^ { 2 } } \left( 2 \epsilon - \frac { 1 } { v } \right) .
443,"\delta \eta ^ { * } = \partial _ { \mu } \eta ^ { * \mu } , \; \gamma \eta ^ { * } = 0 ,"
444,\langle \phi ^ { I } \rangle =
445,"{ \cal S _ { F } } = \langle \psi , ( D + A + J A J ) \psi \rangle ~ ~ ~ ."
446,\sigma = \tilde { \Lambda } \operatorname { e x p } \left( \frac { 2 \pi i n } { N } \right)
447,"\mu _ { \alpha } \mapsto \mu _ { \alpha } ^ { ( i ) } = \mu _ { \alpha } - i \, ."
448,"\overline { { \Psi } } ( x ) \Psi ( x ) = \Psi ^ { + } ( x ) \eta \Psi ( x ) ,"
449,\frac { { \partial T } ^ { \mu \nu } } { { \partial x } ^ { \nu } } = 0 .
450,J _ { + + } ( m \ge 0 ) J _ { - + } ( n \le 0 ) = - \theta ( m + n \ge 0 ) J _ { + + } ( m + n )
451,S = \frac { 8 \pi ^ { 3 } } { 4 5 \beta ^ { 3 } } I _ { r } .
452,"\frac { \delta \Sigma ^ { \mathrm { c o u n t } } } { \delta b ^ { a } } = 0 \; ,"
453,"N _ { 1 } \, < \, \frac 1 3 \, N _ { 1 / 2 } \, + \, \frac { 1 } { 1 8 } \, N _ { 0 } \, ."
454,"D \phi _ { \lambda } = \lambda \phi _ { \lambda } \, ."
455,"\int _ { A ^ { I } } H = 2 \pi n ^ { I } , \qquad \int _ { B _ { I } } H = 2 \pi m _ { I } ."
456,"d _ { N , Y } = N \lambda { \frac { d } { d \lambda } } + \mathrm { a d \, } Y ,"
457,\frac { \theta + \theta _ { B } } { 2 } - \frac { i \pi } { 4 }
458,"| f _ { N } | \leq h \ , \quad \forall N ."
459,"V _ { A , B } ( k , p ) = V _ { A , B } ( 0 , p ) + k _ { \mu } C _ { A , B } ^ { \mu } ( p ) ,"
460,"\theta _ { A } s ^ { A } \varphi = { [ i \theta _ { A } Q ^ { A } , \varphi ] } ,"
461,\omega _ { S U ( 2 ) } ^ { A } = \epsilon ^ { A B C } d n ^ { B } n ^ { C } - n ^ { A } A .
462,D = \sum _ { i = 1 } ^ { d } \gamma _ { i } x ^ { i }
463,"d { \cal A } ^ { ( N S ) } = 0 , \qquad d { \cal A } ^ { ( R ) } = 0 ,"
464,p ^ { 0 } - q ^ { 0 } \mp \omega \simeq \mp \frac { p \cdot k } { p ^ { 0 } } .
465,e ^ { i \Psi ^ { - } } = e ^ { i n \varphi } e ^ { i \Psi ^ { + } } .
466,"\partial _ { x } A _ { 0 } - \partial _ { 0 } A _ { x } = E \, ,"
467,"\sum _ { g \in G } | g c g ^ { - 1 } ; g a g ^ { - 1 } , g b g ^ { - 1 } \rangle ~ ."
468,"X ^ { \mu } ( \tau , \sigma + \pi ) = X ^ { \mu } ( \tau , \sigma ) \; ."
469,q _ { \beta } \ = \ \operatorname { d i m } ( \beta ) \ \ \ .
470,"T r ( { \cal L } _ { j } ^ { k } ) , \quad j = 1 , 2 , \quad k = 1 , 2 , \ldots ,"
471,N _ { W _ { 1 } W _ { 2 } W _ { 3 } } = N _ { W _ { 1 } W _ { 2 } } ^ { W _ { 3 } ^ { \prime } } .
472,d \omega ^ { \mu } = \gamma _ { \nu \rho } ^ { \mu } \omega ^ { \nu } \wedge \omega ^ { \rho } .
473,^ { \alpha \beta \gamma } c ^ { \beta } c ^ { \gamma }
474,"\langle \sigma \rangle _ { 1 } ( \theta + 2 \pi ) = \langle \sigma \rangle _ { 2 } ( \theta ) \, ."
475,"W = \frac { 1 } { 2 \pi } \int _ { X _ { 7 } } \Psi ^ { ( 3 ) } \wedge F ^ { ( 4 ) } ,"
476,y ^ { 2 } = 4 x ^ { 3 } - { \cal { G } } _ { 2 } x - { \cal { G } } _ { 3 } + u ( u + \epsilon ) b
477,"( \partial _ { \rho } R ) ^ { 2 } = 1 - { \frac { R _ { \infty } ^ { 1 6 } } { R ^ { 1 6 } } } ,"
478,R ( R _ { b } ^ { a } - \frac { 1 } { 4 } \delta _ { b } ^ { a } R ) + T _ { b } ^ { a } = 0
479,Z ( \l ) = \sum _ { p = 0 } ^ { n - 1 } a _ { p } \l ^ { p } + R _ { n } ( \l )
480,M _ { a } = - i \zeta _ { a } \partial _ { z } = - i n _ { a } \partial _ { \varphi }
481,"D ^ { \prime } n ^ { \prime a b } = S ^ { a c } D n ^ { c d } S ^ { c b } ,"
482,"\phi ^ { \prime } = \frac { L } { r ^ { 2 } } , \; \; \; \; \; r ^ { 2 } + U ( r ) = 0 ,"
483,"\mathcal { J } \; = \; \operatorname { e x p } \left\{ \pm 2 i S _ { C - S } [ A ] \right\} \; ,"
484,"S = \left( \frac { \chi } { 2 } \right) ^ { \alpha } \frac { A } { 4 } ,"
485,\int _ { \mathcal { M } _ { 1 } } \Omega = \int _ { \mathcal { M } _ { 2 } } \Omega
486,"V ( r , \phi ) = 2 \frac { e ^ { - \mu r } } { r } \operatorname { c o s } \phi ,"
487,"A ( \zeta ) = \int d u ~ a ( u ) e ^ { i u \cdot \zeta } ,"
488,"A = ( \pm e _ { a } \pm e _ { b } \pm e _ { c } \pm e _ { d } ) / 2 \in \Xi _ { 2 } ,"
489,c ( \xi _ { | Q } ) - c ( \alpha ( w _ { 2 } ) ) .
490,"\partial ^ { \mu } K _ { \mu } + [ C ^ { \mu } , K _ { \mu } ] = 0 \; ."
491,"G _ { \mu \nu } = \eta _ { \mu \nu } + h _ { \mu \nu } ,"
492,"p = r _ { 1 } + r _ { 2 } , \quad q = r _ { 1 } - r _ { 2 } , \quad p \ge q \ge 0 ,"
493,{ \bf 5 6 } \rightarrow { \bf 2 7 } + \overline { { \bf 2 7 } } + { \bf 1 } + { \bf 1 } .
494,{ \cal V } = { \frac { 1 } { 6 } } C _ { I J K } X ^ { I } X ^ { J } X ^ { K } = 1 \ .
495,"h _ { \mu \nu } = g _ { \mu \nu } - n _ { \mu } \; n _ { \nu } ,"
496,"\delta _ { \Delta } ( \l _ { D } ) \phi ^ { \alpha } = \lambda _ { D } k ^ { \alpha } ( \phi ) \, ."
497,( \dot { p } _ { \mu } - f _ { \mu } ) \circ v _ { a } ^ { \mu } = 0 .
498,"{ \cal A } _ { -- } : = \langle S _ { - n } | n \geq h ( S ) \rangle \, ."
